Reference, Value, Footprint, Datasheet
"SW1","SW_SPST","keyswitches:PG1350_rotatable",""
"D1","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW2","SW_SPST","keyswitches:PG1350_rotatable",""
"D2","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW3","SW_SPST","keyswitches:PG1350_rotatable",""
"D3","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW4","SW_SPST","keyswitches:PG1350_rotatable",""
"D4","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW5","SW_SPST","keyswitches:PG1350_rotatable",""
"D5","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW6","SW_SPST","keyswitches:PG1350_rotatable",""
"D6","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW7","SW_SPST","keyswitches:PG1350_rotatable",""
"D7","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW8","SW_SPST","keyswitches:PG1350_rotatable",""
"D8","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW9","SW_SPST","keyswitches:PG1350_rotatable",""
"D9","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW10","SW_SPST","keyswitches:PG1350_rotatable",""
"D10","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW11","SW_SPST","keyswitches:PG1350_rotatable",""
"D11","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW12","SW_SPST","keyswitches:PG1350_rotatable",""
"D12","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW13","SW_SPST","keyswitches:PG1350_rotatable",""
"D13","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW14","SW_SPST","keyswitches:PG1350_rotatable",""
"D14","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW15","SW_SPST","keyswitches:PG1350_rotatable",""
"D15","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW16","SW_SPST","keyswitches:PG1350_rotatable",""
"D16","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW17","SW_SPST","keyswitches:PG1350_rotatable",""
"D17","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW18","SW_SPST","keyswitches:PG1350_rotatable",""
"D18","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW19","SW_SPST","keyswitches:PG1350_rotatable",""
"D19","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW20","SW_SPST","keyswitches:PG1350_rotatable",""
"D20","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW21","SW_SPST","keyswitches:PG1350_rotatable",""
"D21","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW22","SW_SPST","keyswitches:PG1350_rotatable",""
"D22","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW23","SW_SPST","keyswitches:PG1350_rotatable",""
"D23","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW24","SW_SPST","keyswitches:PG1350_rotatable",""
"D24","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW25","SW_SPST","keyswitches:PG1350_rotatable",""
"D25","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW26","SW_SPST","keyswitches:PG1350_rotatable",""
"D26","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW27","SW_SPST","keyswitches:PG1350_rotatable",""
"D27","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW28","SW_SPST","keyswitches:PG1350_rotatable",""
"D28","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW29","SW_SPST","keyswitches:PG1350_rotatable",""
"D29","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW30","SW_SPST","keyswitches:PG1350_rotatable",""
"D30","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW31","SW_SPST","keyswitches:PG1350_rotatable",""
"D31","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW32","SW_SPST","keyswitches:PG1350_rotatable",""
"D32","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW33","SW_SPST","keyswitches:PG1350_rotatable",""
"D33","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW34","SW_SPST","keyswitches:PG1350_rotatable",""
"D34","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW35","SW_SPST","keyswitches:PG1350_rotatable",""
"D35","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW36","SW_SPST","keyswitches:PG1350_rotatable",""
"D36","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW37","SW_SPST","keyswitches:PG1350_rotatable",""
"D37","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW38","SW_SPST","keyswitches:PG1350_rotatable",""
"D38","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"SW39","SW_SPST","keyswitches:PG1350_rotatable",""
